Column 1,IP Semester 1,IP Semester 2,IP Semester 3,IP Semester 4,IP Semester 5,IP Semester 6
11/9/2025 23:42:20,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:43:02,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:43:29,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:44:05,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:44:38,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:45:02,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:45:26,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:45:55,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:46:24,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:46:53,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:47:28,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:47:49,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:48:21,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:48:43,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:49:10,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:49:41,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:50:14,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:50:42,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:51:07,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:51:48,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,1.01 - 2.00,2.76 - 3.25
